Credit_Card,Age,Student,Account_Balance,CS,GEXP_1,DIN_1,TRANS_1,ENT_1,GROC_1,HOTEL_1,AIR_1,GEXP_2,DIN_2,TRANS_2,ENT_2,GROC_2,HOTEL_2,AIR_2,GEXP_3,DIN_3,TRANS_3,ENT_3,GROC_3,HOTEL_3,AIR_3,student_exp1,student_exp2,student_exp3,total_qs1,total_journey_over,qs_total,bp_total,savorone,ventureone
QuickSilverOne,4,0,<100,Average,4686.899365,2765.183044,3673.61287,2515.322481,3394.040252,732.0022086,1351.492271,4526.950124,2144.077694,4666.211404,3091.674584,3319.172846,566.8241282,1290.125706,4305.6054,2237.22435,4356.869479,3244.147815,4412.572006,786.4209343,1350.768517,0,0,0,247.7782874,0,0,0,0,0
QuickSilverOne,4,0,<100,Average,4733.820231,2778.70625,3276.562905,2574.414768,2848.539808,567.5895378,1245.750019,6212.225452,3064.969479,3394.623923,2871.20354,2004.314822,569.9624837,1705.426201,6619.02385,3959.799209,4304.810515,2557.460532,1809.952108,664.5696408,1694.445926,0,0,0,231.3807528,0,0,0,0,0
JourneyStudent,3,1,1000-10000,Average,5025.263843,2576.942414,4051.803229,2537.163488,2146.958586,657.2217971,1413.001666,8670.315386,3360.358066,5215.79549,2540.022305,3664.538392,783.4700025,2601.720215,13222.65867,4381.530559,8264.81964,3501.916944,5763.968326,720.2191509,4354.371291,15988.63036,14032.91607,15790.16833,570.1757215,572.6464345,0,0,0,0
JourneyStudent,4,1,100-1000,Average,5202.007391,2796.473,3436.420329,3052.751324,3313.729033,599.473741,1382.668841,7461.177848,2339.643794,3517.066795,2462.026361,4381.92154,844.9766806,2029.565592,7841.252375,2368.450874,5365.586644,1879.54227,6356.423117,940.4441874,2671.943911,13865.56784,13219.04616,10276.32298,443.4140547,467.0117123,0,0,0,0
JourneyStudent,5,1,>10000,Average,4677.039839,2821.506872,3628.23122,2535.312929,2840.824898,666.6473695,1261.150735,8451.550526,2394.149609,6236.34965,2667.721248,4254.359715,722.141278,2321.927149,8549.839479,2960.937162,6368.290332,2178.659906,4689.409379,806.9229901,3922.600306,11804.8349,11205.08408,10610.73446,387.3098016,420.258168,0,0,0,0
QuickSilverOne,2,0,100-1000,Average,4126.467427,3203.257023,3610.467169,2273.973698,3677.918607,572.2212044,1460.23629,5460.622569,4361.453801,4858.68481,2387.050238,2719.308778,712.4916148,2049.020112,4052.616874,6533.572835,7002.151354,2549.765986,2155.718201,907.7807713,1796.790155,0,0,0,244.8681213,0,0,0,0,0
QuickSilverOne,2,0,1000-10000,Average,4719.242682,3016.097392,4070.148927,3258.935813,3974.256551,492.9369563,1409.433946,3820.684813,4065.541304,3574.792096,4112.677773,3803.813392,488.3661347,1474.859672,4948.002554,5862.398296,2674.204363,5347.811204,2947.807113,612.1820819,1319.136667,0,0,0,275.115784,0,0,0,0,0
QuickSilverOne,2,0,1000-10000,Average,3460.013373,2444.290448,3586.154034,1928.12634,3786.475181,604.9097203,1437.542036,4101.390198,2359.934844,3412.481374,2212.2698,3418.634065,714.7825919,1883.672299,3363.914418,2410.793682,4314.556232,1746.435239,4027.403512,522.2360971,2444.796124,0,0,0,219.712667,0,0,0,0,0
QuickSilverOne,2,0,100-1000,Average,4264.749565,2788.468531,3844.228525,2520.441044,2986.400626,623.8446646,1462.79226,6253.431576,2679.705269,3089.357526,3540.900422,2844.334899,500.2013306,1810.743963,9303.026999,3003.081476,3558.309243,4628.339953,2864.058914,444.0291413,1586.344371,0,0,0,238.3638782,0,0,0,0,0
QuickSilverOne,3,1,1000-10000,Average,4593.965192,2431.466065,2961.162786,2732.444044,2714.377197,566.094872,799.7780313,5601.676261,2444.323246,4595.563484,1921.933359,2729.58633,839.8228045,1146.68782,5673.938547,3585.196791,7692.243738,2013.392341,3027.57458,1195.438038,1391.776733,20143.99775,22832.13808,26757.05715,928.9978946,871.6649122,0,0,0,0
